PONTOS RASTREADOS;;;;
Id;E (entrega2);N (entrega2);h_(Elipsoidal);H_(Ortométrica)
MR00047;565445.968;8567176.928;-4.982;5.858
MR00050;560056.592;8562994.601;-4.944;5.822
MR00051;553353.338;8561568.681;-7.480;3.354
MR00054;569407.096;8571285.740;8.591;19.209
MR00055;552879.184;8561854.853;35.755;46.647
MR00056;561589.783;8568366.239;50.921;61.674
MR00101;553382.019;8571222.244;14.717;25.810
MR00107;556783.269;8568161.652;5.765;16.575
MR00108;557330.263;8567881.267;17.285;28.082
MR00110;559576.736;8567254.539;54.390;65.133
MR00111;559622.310;8567637.493;58.016;68.750
MR00113;558835.720;8569000.817;69.248;80.022
MR00121;561915.985;8571879.117;73.454;84.165
MR00123;564293.844;8571751.302;55.955;66.681
MR00129;563878.151;8573837.220;64.610;75.371
MR00140;556555.922;8563091.726;-2.981;7.830
MR00141;556843.274;8563275.908;-0.499;10.360
MR200SSA;550684.474;8561677.268;1.678;12.566
MR201SSA;551633.107;8561628.906;11.493;22.375
MR202SSA;553216.976;8561674.440;-3.231;7.613
MR203SSA;553462.440;8561548.073;-5.538;5.282
MR204AZ;552482.854;8563184.287;27.362;38.201
MR205AZ;555284.154;8563189.114;23.386;34.149
MR206SSA;553670.318;8564451.734;13.335;24.168
MR207AZ;553922.211;8565536.139;47.151;57.995
MR209SSA;556055.628;8565198.139;46.715;57.557
MR210SSA;556859.019;8565957.009;11.635;22.402
MR211AZ;556544.728;8566869.647;2.548;13.328
MR214AZ;553325.461;8566775.938;-7.994;2.886
MR216SSA;554184.416;8569091.721;-4.349;6.565
MR217AZ;555254.281;8569417.450;11.001;21.888
MR217SSA;555078.403;8569534.836;4.712;15.602
MR218AZ;553744.785;8570311.106;-8.429;2.506
MR219AZ;556809.928;8569995.049;69.425;80.262
MR222SSA;558518.698;8574235.941;92.710;103.608
MR223AZ;563540.259;8575549.837;67.411;78.155
MR226SSA;556823.926;8578697.294;-2.663;8.451
MR228SSA;559622.639;8577906.541;82.755;93.666
MR232SSA;562470.819;8577604.613;89.834;100.628
MR235SSA;558989.317;8579852.043;50.418;61.464
MR237SSA;555976.445;8581930.092;46.046;57.304
MR242SSA;569469.854;8577603.730;51.258;61.966
MR243SSA;568943.911;8578713.179;56.529;67.269
MR245SSA;566963.028;8580460.866;79.166;89.964
MR250AZ;555624.289;8562149.031;-5.242;5.526
MR250SSA;555397.205;8561553.489;-6.162;4.642
MR251AZ2;557727.830;8561518.120;-3.591;7.159
MR252AZ;558894.601;8562136.858;-4.890;5.742
MR252SSA;558384.121;8561850.770;-4.484;6.259
MR253SSA;558137.649;8563105.460;0.827;11.553
MR254SSA;557145.039;8565141.455;39.304;50.069
MR256SSA;558886.376;8566577.351;19.057;29.802
MR257AZ;559519.832;8565805.147;15.475;26.219
MR257SSA;559131.710;8566425.986;7.423;18.159
MR258AZ;558827.812;8564522.949;1.342;12.021
MR258AZ2;559159.342;8563874.680;-2.389;8.443
MR259SSA;559625.884;8563067.943;0.213;10.944
MR261AZ;561865.391;8568578.128;46.596;57.288
